year,league,team,seed,winner
2023,AL,BAL,1,false
2023,AL,HOU,2,false
2023,AL,MIN,3,false
2023,AL,TB,4,false
2023,AL,TEX,5,true
2023,AL,TOR,6,false
2023,NL,ATL,1,false
2023,NL,LAD,2,false
2023,NL,MIL,3,false
2023,NL,PHI,4,false
2023,NL,ARI,5,true
2023,NL,MIA,6,false
2022,AL,HOU,1,true
2022,AL,NYY,2,false
2022,AL,CLE,3,false
2022,AL,SEA,4,false
2022,AL,TB,5,false
2022,AL,TOR,6,false
2022,NL,LAD,1,false
2022,NL,ATL,2,false
2022,NL,STL,3,false
2022,NL,NYM,4,false
2022,NL,SD,5,true
2022,NL,PHI,6,false
2021,AL,TB,1,false
2021,AL,HOU,2,true
2021,AL,CWS,3,false
2021,AL,BOS,4,false
2021,AL,NYY,5,false
2021,NL,SF,1,false
2021,NL,MIL,2,false
2021,NL,ATL,3,true
2021,NL,LAD,4,false
2021,NL,STL,5,false
2020,AL,TB,1,true
2020,AL,OAK,2,false
2020,AL,MIN,3,false
2020,AL,CLE,4,false
2020,AL,NYY,5,false
2020,AL,HOU,6,false
2020,AL,CWS,7,false
2020,AL,TOR,8,false
2020,NL,LAD,1,true
2020,NL,ATL,2,false
2020,NL,CHC,3,false
2020,NL,SD,4,false
2020,NL,STL,5,false
2020,NL,MIA,6,false
2020,NL,CIN,7,false
2020,NL,MIL,8,false
2019,AL,HOU,1,true
2019,AL,NYY,2,false
2019,AL,MIN,3,false
2019,AL,TB,4,false
2019,AL,OAK,5,false
2019,NL,LAD,1,false
2019,NL,ATL,2,false
2019,NL,STL,3,false
2019,NL,WSH,4,true
2019,NL,MIL,5,false
2018,AL,BOS,1,true
2018,AL,HOU,2,false
2018,AL,CLE,3,false
2018,AL,NYY,4,false
2018,AL,OAK,5,false
2018,NL,MIL,1,false
2018,NL,LAD,2,true
2018,NL,ATL,3,false
2018,NL,COL,4,false
2018,NL,CHC,5,false
2017,AL,CLE,1,false
2017,AL,HOU,2,true
2017,AL,BOS,3,false
2017,AL,NYY,4,false
2017,AL,MIN,5,false
2017,NL,LAD,1,true
2017,NL,WSH,2,false
2017,NL,CHC,3,false
2017,NL,ARI,4,false
2017,NL,COL,5,false
2016,AL,TEX,1,false
2016,AL,CLE,2,true
2016,AL,BOS,3,false
2016,AL,TOR,4,false
2016,AL,BAL,5,false
2016,NL,CHC,1,true
2016,NL,WSH,2,false
2016,NL,LAD,3,false
2016,NL,NYM,4,false
2016,NL,SF,5,false
2015,AL,KC,1,true
2015,AL,TOR,2,false
2015,AL,TEX,3,false
2015,AL,HOU,4,false
2015,AL,NYY,5,false
2015,NL,STL,1,false
2015,NL,LAD,2,false
2015,NL,NYM,3,true
2015,NL,CHC,4,false
2015,NL,PIT,5,false